study,entered.by,host.species,host.type,host.therm,parasite.species,parasite.type,parasite.group,parasite.measure,hp_sampled,iduration_bin,iduration_bin_clean,iduration_confidence,sample.size,experimental.design,study.duration,sampling.method,subset.studied,sex,age,condition.measure,cm.speed,condition.quantification,size.measure,external.measure,ott_id,phypc1,phypc2,close,nonclose,vector,intermediate,tmode,effect.direction,yi,yir,rlower,rupper,vi
Millan et al. 2004 Parasitology Research,DJB,Alectoris_rufa,bird,endotherm,louse,ectoparasite,ectoparasite,binary infection,hp not randomly sampled,NA,NA,NA,69,observational,cross-sectional,FD,no,NA,NA,body weight~cube of head and body length^3 residual,NA,adjusted quantitative,body size,external,51360,NA,NA,NA,NA,NA,NA,NA,-1,-0.417736681,-0.395021996,-0.577691916,-0.174672111,0.015151515
Millan et al. 2004 Parasitology Research,DJB,Alectoris_rufa,bird,endotherm,louse,ectoparasite,ectoparasite,richness,hp not randomly sampled,NA,NA,NA,69,observational,cross-sectional,FD,no,NA,NA,body weight~cube of head and body length^3 residual,NA,adjusted quantitative,body size,external,51360,NA,NA,NA,NA,NA,NA,NA,-1,-0.348906851,-0.335405727,-0.530011923,-0.107238023,0.015151515
Millan et al. 2004 Parasitology Research,DJB,Alectoris_rufa,bird,endotherm,Menopon pallens,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,45,observational,cross-sectional,FD,no,NA,NA,body mass,NA,raw quantitative,body size,external,51360,NA,NA,NA,NA,NA,NA,NA,-1,-0.624205982,-0.554049687,-0.729021159,-0.311112786,0.023809524
Millan et al. 2004 Parasitology Research,CST,Alectoris_rufa,bird,endotherm,multiple lice,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,114,observational,cross-sectional,NA,no,NA,NA,body weight/cube of head and body length^3 residual,NA,adjusted quantitative,body size,external,51360,NA,NA,NA,NA,NA,NA,NA,-1,-0.417736681,-0.395021996,-0.539725527,-0.227645746,0.009009009
Millan et al. 2004 Parasitology Research,CST,Alectoris_rufa,bird,endotherm,multiple lice,ectoparasite,ectoparasite,binary infection,hp not randomly sampled,NA,NA,NA,114,observational,cross-sectional,NA,no,NA,NA,body weight/cube of head and body length^3 residual,NA,adjusted quantitative,body size,external,51360,NA,NA,NA,NA,NA,NA,NA,-1,-0.629255898,-0.557539631,-0.672496756,-0.416313531,0.009009009
Millan et al. 2004 Parasitology Research,CST,Alectoris_rufa,bird,endotherm,multiple lice,ectoparasite,ectoparasite,richness,hp not randomly sampled,NA,NA,NA,114,observational,cross-sectional,NA,no,NA,NA,body weight/cube of head and body length^3 residual,NA,adjusted quantitative,body size,external,51360,NA,NA,NA,NA,NA,NA,NA,-1,-0.34819085,-0.334770122,-0.488602094,-0.160752733,0.009009009
Villanua et al. 2008 European Journal of Wildlife Research,AM,Alectoris_rufa,bird,endotherm,multiple,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,98,observational,cross-sectional,LC,yes,NA,NA,pectoral muscle thickness measured using a portable ultrasound meter,NA,raw quantitative,not body size,invasive,51360,NA,NA,NA,NA,NA,NA,NA,-1,-0.320545409,-0.31,-0.478959746,-0.118892351,0.010526316
Villanua et al. 2008 European Journal of Wildlife Research,AM,Alectoris_rufa,bird,endotherm,multiple,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,98,observational,cross-sectional,LC,yes,NA,NA,residuals of the regression of the body mass on the cube of tarsus length,NA,adjusted quantitative,body size,external,51360,NA,NA,NA,NA,NA,NA,NA,-1,-0.287682072,-0.28,-0.453239759,-0.086378215,0.010526316
van Dijk et al. 2015 Ecology and Evolution,CST,Anas_platyrhynchos,bird,endotherm,avian influenza,virus,microparasite,binary infection,hp randomly sampled,2,acute,1,285,observational,cross-sectional,LC,no,NA,NA,body mass,rapid,raw quantitative,body size,external,765167,NA,NA,NA,NA,NA,NA,NA,-1,-0.014510543,-0.014509525,-0.130476626,0.101849235,0.003546099
Gerard et al. 2013 Parasite,AKD,Anguilla_anguilla,fish,ectotherm,Anguillicoloides crassus,helminth,helminth,intensity,hp randomly sampled,4,NA,1,58,observational,cross-sectional,LC,no,NA,NA,ratio of mass to length,rapid,adjusted quantitative,body size,external,854201,NA,NA,NA,NA,NA,NA,NA,1,0.265723626,0.259641195,0.001442136,0.485385001,0.018181818
Mayo-Hernandez et al. 2015 Parasitology,CAS,Anguilla_anguilla,fish,ectotherm,Bucephalus anguillae,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,189,observational,cross-sectional,LC,no,NA,NA,body length,NA,raw quantitative,body size,external,854201,NA,NA,NA,NA,NA,NA,NA,1,0.296366219,0.287983696,0.151479843,0.413708888,0.005376344
Mayo-Hernandez et al. 2015 Parasitology,CAS,Anguilla_anguilla,fish,ectotherm,Contracaecum sp.,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,189,observational,cross-sectional,LC,no,NA,NA,body length,NA,raw quantitative,body size,external,854201,NA,NA,NA,NA,NA,NA,NA,1,0.361583214,0.346607809,0.214488587,0.466270996,0.005376344
Mayo-Hernandez et al. 2015 Parasitology,CAS,Anguilla_anguilla,fish,ectotherm,Deropristis inflata,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,189,observational,cross-sectional,LC,no,NA,NA,body length,NA,raw quantitative,body size,external,854201,NA,NA,NA,NA,NA,NA,NA,1,0.151140436,0.15,0.007428767,0.286594424,0.005376344
Mayo-Hernandez et al. 2015 Parasitology,CAS,Anguilla_anguilla,fish,ectotherm,multiple,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,189,observational,cross-sectional,LC,no,NA,NA,body length,NA,raw quantitative,body size,external,854201,NA,NA,NA,NA,NA,NA,NA,1,0.288995519,0.281210027,0.144270353,0.407581146,0.005376344
Mayo-Hernandez et al. 2015 Parasitology,CAS,Anguilla_anguilla,fish,ectotherm,multiple,helminth,helminth,richness,hp not randomly sampled,NA,NA,NA,189,observational,cross-sectional,LC,no,NA,NA,body length,NA,raw quantitative,body size,external,854201,NA,NA,NA,NA,NA,NA,NA,1,0.279201108,0.272165527,0.134666539,0.399381334,0.005376344
Gerard et al. 2013 Parasite,AKD,Anguilla_anguilla,fish,ectotherm,Pseudodactylogyrus sp.,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,58,observational,cross-sectional,LC,no,NA,NA,ratio of mass to length,NA,adjusted quantitative,body size,external,854201,NA,NA,NA,NA,NA,NA,NA,-1,-0.411426319,-0.389683081,-0.588721936,-0.146091973,0.018181818
Lefebvre et al. 2004 New Zealand Journal of Marine and Freshwater Research,DJB,Anguilla_australis,fish,ectotherm,Anguillicola novaezelandiae,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,189,observational,cross-sectional,LC,no,NA,NA,body mass,NA,raw quantitative,body size,external,479860,NA,NA,NA,NA,NA,NA,NA,-1,-0.107291083,-0.106881281,-0.245860904,0.036404354,0.005376344
Lefebvre et al. 2004 New Zealand Journal of Marine and Freshwater Research,DJB,Anguilla_australis,fish,ectotherm,Anguillicola novaezelandiae,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,189,observational,cross-sectional,LC,no,NA,NA,body size,NA,raw quantitative,body size,external,479860,NA,NA,NA,NA,NA,NA,NA,-1,-0.142119222,-0.141170054,-0.278292942,0.001592309,0.005376344
Lefebvre et al. 2004 New Zealand Journal of Marine and Freshwater Research,DJB,Anguilla_australis,fish,ectotherm,Anguillicola novaezelandiae,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,11,observational,cross-sectional,LC,no,NA,NA,swimbladder degenerative index,NA,qualitative,not body size,invasive,479860,NA,NA,NA,NA,NA,NA,NA,-1,-0.090244188,-0.09,-0.654537359,0.538973521,0.125
Lefebvre et al. 2004 New Zealand Journal of Marine and Freshwater Research,DJB,Anguilla_australis,fish,ectotherm,Anguillicola novaezelandiae,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,189,observational,cross-sectional,LC,no,NA,NA,swimbladder degenerative index,NA,qualitative,not body size,invasive,479860,NA,NA,NA,NA,NA,NA,NA,-1,-0.160787546,-0.159416132,-0.295424468,-0.017074354,0.005376344
Schall & Pearson 2000 Journal of Herptology,DJB,Anolis_gundlachi,reptile,ectotherm,Plasmodium,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,940,observational,cross-sectional,LC,yes,M,NA,mass~length residuals,NA,adjusted quantitative,body size,external,67193,NA,NA,NA,NA,NA,NA,NA,-1,-0.05378472,-0.053732918,-0.117271871,0.010244154,0.001067236
Galvan et al. 2012 Journal of Avian Biology,CAS,Anthus_berthelotii,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,86,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,635040,NA,NA,NA,NA,NA,NA,NA,1,0.053049709,0.053,-0.160679656,0.261933962,0.012048193
Spurgin et al. 2012 Oecologia,DJB,Anthus_berthelotii,bird,endotherm,Plasmodium,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,832,observational,cross-sectional,LC,no,NA,NA,body mass adjusted for size,NA,adjusted quantitative,body size,external,635040,NA,NA,NA,NA,NA,NA,NA,1,0.087150498,0.086930524,0.019075821,0.153988106,0.001206273
Galvan et al. 2012 Journal of Avian Biology,CAS,Anthus_campestris,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,11,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,695343,NA,NA,NA,NA,NA,NA,NA,1,1.017875992,0.769,0.31395249,0.936749041,0.125
Calero-Riestra 2016 Malaria Journal,AM,Anthus_campestris,bird,endotherm,Multiple Plasmodium spp and Haemoproteus spp,protozoan,microparasite,binary infection,hp randomly sampled,4,NA,3,105,observational,cross-sectional,LC,yes,NA,A,body mass against linear measure of size,rapid,adjusted quantitative,body size,external,695343,NA,NA,NA,NA,NA,NA,NA,-1,-0.288636999,-0.280879825,-0.448405222,-0.094290709,0.009803922
Galvan et al. 2012 Journal of Avian Biology,CAS,Anthus_spinoletta,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,248,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,695342,NA,NA,NA,NA,NA,NA,NA,1,0.21631183,0.213,0.090843186,0.328842038,0.004081633
Galvan et al. 2012 Journal of Avian Biology,CAS,Anthus_trivialis,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,37,observational,cross-sectional,LC,no,NA,NA,body mass; tarsus length as a covariate,NA,adjusted quantitative,body size,external,695340,NA,NA,NA,NA,NA,NA,NA,-1,-0.117538299,-0.117,-0.424910539,0.215176377,0.029411765
Holldorf et al. 2015 PLoS One,CST,Boiga_irregularis,reptile,ectotherm,Spirometra erinaceieuropaei,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,222,observational,cross-sectional,LC,no,NA,NA,fat/mass ratio,NA,adjusted quantitative,body size,external,809638,NA,NA,0,0,0,1,intermediate,1,0.161576906,0.160185335,0.029126573,0.285829689,0.00456621
Holldorf et al. 2015 PLoS One,CST,Boiga_irregularis,reptile,ectotherm,Spirometra erinaceieuropaei,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,222,observational,cross-sectional,LC,no,NA,NA,mass~snout vent length residual,NA,adjusted quantitative,body size,external,809638,NA,NA,0,0,0,1,intermediate,1,0.195627511,0.193169568,0.063101466,0.316785165,0.00456621
Galvan et al. 2012 Journal of Avian Biology,CAS,Bucanetes_githagineus,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,52,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,59188,NA,NA,NA,NA,NA,NA,NA,1,0.071119666,0.071,-0.20588962,0.337363588,0.020408163
Ishak et al. 2010 J. Raptor. Res,PB,Buteo_jamaicensis,bird,endotherm,Haemoproteus sp.,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,88,observational,cross-sectional,LC,yes,M,NA,Residuals from OLS regression of mass against a flat wing,NA,adjusted quantitative,body size,external,509839,NA,NA,NA,NA,NA,NA,NA,-1,-0.29125411,-0.283288686,-0.46513336,-0.078504296,0.011764706
Galvan et al. 2012 Journal of Avian Biology,CAS,Calandrella_brachydactyla,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,200,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,947049,NA,NA,NA,NA,NA,NA,NA,-1,-0.058065169,-0.058,-0.195170482,0.081396007,0.005076142
Galvan et al. 2012 Journal of Avian Biology,CAS,Calandrella_rufescens,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,440,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,781908,NA,NA,NA,NA,NA,NA,NA,1,0.104377407,0.104,0.010619215,0.195582509,0.00228833
Parmenter et al. 2013 Estuaries and Coasts,AM,Callinectes_sapidus,invertebrate,ectotherm,Hematodinium sp.,protozoan,microparasite,binary infection,hp randomly sampled,2,acute,1,308,observational,cross-sectional,LC,no,NA,NA,"ln weight (grams) ~ ln carapace
width (millimeters) residual",rapid,adjusted quantitative,body size,external,182906,NA,NA,NA,NA,NA,NA,NA,1,0.16656985,0.165046235,0.054289208,0.271791368,0.003278689
Lyons et al. 2001 Veterinary Parasitology,DJB,Callorhinus_ursinus,mammal,endotherm,hookworm,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,19,observational,cross-sectional,FD,yes,NA,J,subjective blubber score,NA,qualitative,not body size,external,949693,1.426497271,0.270630846,NA,NA,NA,NA,NA,1,0.787088897,0.656756741,0.288654554,0.855704952,0.0625
Nelson et al. 2003 Journal of Wildlife Disease,DJB,Canis_latrans,mammal,endotherm,Dirofilaria immitis,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,637,observational,cross-sectional,LC,no,NA,NA,body mass,NA,raw quantitative,body size,external,247331,NA,NA,0,0,1,0,vector,-1,-0.010214787,-0.010214432,-0.087828022,0.067522427,0.001577287
Nelson et al. 2003 Journal of Wildlife Disease,DJB,Canis_latrans,mammal,endotherm,Dirofilaria immitis,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,637,observational,cross-sectional,LC,no,NA,NA,body mass,NA,raw quantitative,body size,external,247331,NA,NA,0,0,1,0,vector,1,0.112302892,0.111833142,0.034449141,0.187884167,0.001577287
Nelson et al. 2003 Journal of Wildlife Disease,DJB,Canis_latrans,mammal,endotherm,Dirofilaria immitis,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,637,observational,cross-sectional,LC,no,NA,NA,hair quality,NA,qualitative,not body size,external,247331,NA,NA,0,0,1,0,vector,-1,-0.125764817,-0.125105921,-0.200837336,-0.047888047,0.001577287
Nelson et al. 2003 Journal of Wildlife Disease,DJB,Canis_latrans,mammal,endotherm,Dirofilaria immitis,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,637,observational,cross-sectional,LC,no,NA,NA,kidney fat mass / kidney mass,NA,raw quantitative,not body size,invasive,247331,NA,NA,0,0,1,0,vector,-1,-0.041277887,-0.041254459,-0.118557788,0.036545943,0.001577287
Nelson et al. 2003 Journal of Wildlife Disease,DJB,Canis_latrans,mammal,endotherm,Dirofilaria immitis,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,637,observational,cross-sectional,LC,no,NA,NA,kidney fat mass / kidney mass,NA,raw quantitative,not body size,invasive,247331,NA,NA,0,0,1,0,vector,-1,-0.020628662,-0.020625736,-0.098151751,0.057149113,0.001577287
